scenario_number,qualifying_groups,slot_74,slot_77,slot_79,slot_80,slot_81,slot_82,slot_85,slot_87,source_url
125,B-C-D-F-G-H-K-L,D,F,C,K,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
126,B-C-D-F-G-H-J-L,D,F,C,J,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
127,B-C-D-F-G-H-J-K,C,F,H,K,B,J,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
128,B-C-D-F-G-H-I-L,D,F,C,I,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
129,B-C-D-F-G-H-I-K,D,F,C,K,B,H,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
130,B-C-D-F-G-H-I-J,C,F,H,I,B,J,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
131,B-C-D-E-I-J-K-L,C,D,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
132,B-C-D-E-H-J-K-L,C,D,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
133,B-C-D-E-H-I-K-L,C,D,E,K,B,H,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
134,B-C-D-E-H-I-J-L,C,D,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
135,B-C-D-E-H-I-J-K,C,D,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
136,B-C-D-E-G-J-K-L,C,D,E,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
137,B-C-D-E-G-I-K-L,C,D,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
138,B-C-D-E-G-I-J-L,C,D,E,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
139,B-C-D-E-G-I-J-K,C,D,E,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
140,B-C-D-E-G-H-K-L,C,D,E,K,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
141,B-C-D-E-G-H-J-L,C,D,H,E,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
142,B-C-D-E-G-H-J-K,C,D,H,K,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
143,B-C-D-E-G-H-I-L,C,D,E,I,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
144,B-C-D-E-G-H-I-K,C,D,E,K,B,H,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
145,B-C-D-E-G-H-I-J,C,D,H,I,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
146,B-C-D-E-F-J-K-L,D,F,C,K,B,E,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
147,B-C-D-E-F-I-K-L,D,F,C,K,B,I,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
148,B-C-D-E-F-I-J-L,D,F,C,I,B,E,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
149,B-C-D-E-F-I-J-K,D,F,C,K,B,E,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
150,B-C-D-E-F-H-K-L,D,F,C,K,B,H,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
151,B-C-D-E-F-H-J-L,D,F,C,E,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
152,B-C-D-E-F-H-J-K,D,F,C,K,B,H,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
153,B-C-D-E-F-H-I-L,D,F,C,I,B,H,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
154,B-C-D-E-F-H-I-K,D,F,C,K,B,H,E,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
155,B-C-D-E-F-H-I-J,D,F,C,I,B,H,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
156,B-C-D-E-F-G-K-L,D,F,C,K,B,E,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
157,B-C-D-E-F-G-J-L,D,F,C,E,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
158,B-C-D-E-F-G-J-K,D,F,C,K,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
159,B-C-D-E-F-G-I-L,D,F,C,I,B,E,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
160,B-C-D-E-F-G-I-K,D,F,C,K,B,E,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
161,B-C-D-E-F-G-I-J,D,F,C,I,B,J,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
162,B-C-D-E-F-G-H-L,D,F,C,E,B,H,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
163,B-C-D-E-F-G-H-K,D,F,C,K,B,H,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
164,B-C-D-E-F-G-H-J,C,F,H,E,B,J,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
165,B-C-D-E-F-G-H-I,D,F,C,I,B,H,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
166,A-F-G-H-I-J-K-L,F,G,H,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
167,A-E-G-H-I-J-K-L,A,G,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
168,A-E-F-H-I-J-K-L,F,H,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
169,A-E-F-G-I-J-K-L,F,G,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
170,A-E-F-G-H-J-K-L,F,H,E,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
171,A-E-F-G-H-I-K-L,F,H,E,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
172,A-E-F-G-H-I-J-L,F,H,E,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
173,A-E-F-G-H-I-J-K,F,H,E,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
